偏差値,関東,近畿,その他
72,筑波大駒場,#N/A,#N/A
71,#N/A,灘,#N/A
70,#N/A,#N/A,#N/A
69,開成,#N/A,#N/A
68,#N/A,#N/A,#N/A
67,#N/A,東大寺学園,#N/A
66,慶應志木（一般）,#N/A,#N/A
66,渋谷幕張,#N/A,#N/A
66,筑波大附,#N/A,#N/A
65,慶應志木（帰国）,#N/A,久留米大附設
65,早大本庄学院（一般）,#N/A,#N/A
65,早稲田実業,#N/A,#N/A
64,早大学院（一般）,大阪星光学院,ラ・サール
64,慶應義塾（一般）,#N/A,#N/A
63,早大学院（帰国）,西大和学園,#N/A
63,慶應義塾（帰国）,#N/A,#N/A
62,栄東（東・医）,#N/A,愛光
62,市川（千葉）,#N/A,#N/A
62,東京学芸大附（一般）,#N/A,#N/A
62,慶應湘南藤沢（帰国）,#N/A,#N/A
61,早大本庄学院（帰国）,洛南（空）,広島大附
61,国際基督教大学（帰学）,#N/A,広島大福山
60,#N/A,#N/A,#N/A
59,青山学院（帰国）,大阪教育大池田,東海（愛知）
59,国際基督教大学（一般）,#N/A,青雲（長崎）
59,明大明治,#N/A,#N/A
59,慶應湘南藤沢（全国）,#N/A,#N/A
58,江戸川学園取手（医科）,洛南（海）,金沢大附
58,立教新座,#N/A,岡山白陵
57,川越東（特待生）,大阪教育大天王寺,#N/A
57,栄東（アルファ）,清風南海,#N/A
57,西武学園文理（選抜）,白陵,#N/A
57,昭和学院秀英,智辯学園和歌山,#N/A
57,東京学芸大附（内部）,#N/A,#N/A
57,桐朋,#N/A,#N/A
56,江戸川学園取手（東大）,同志社,真和
56,開智（埼玉）（Ｔ・Ｓ）,清風（理Ⅲ編入）,#N/A
56,青山学院（一般）,明星（大阪）（選抜）,#N/A
56,城北（東京）,#N/A,#N/A
56,桐蔭学園（プログレス）,#N/A,#N/A
55,巣鴨,同志社国際（帰国Ｂ）,滝
55,広尾学園,立命館,徳島文理
55,#N/A,須磨学園（Ⅲ類）,#N/A
55,#N/A,帝塚山（男子英数）,#N/A
54,土浦日大（特進）,立命館守山,弘学館
54,川越東（理数）,清教学園（Ｓ特進理系）,#N/A
54,國學院久我山,#N/A,#N/A
54,東京工大科学技術,#N/A,#N/A
54,山手学院,#N/A,#N/A
53,学習院,比叡山,就実（特進）
53,青稜,大阪教育大平野,早稲田佐賀
53,中央大学（文京区）,近畿大附（Ｓ文理）,#N/A
53,中大杉並,桃山学院（英数）,#N/A
53,中大附（小金井市）,関西学院（帰国）,#N/A
53,鎌倉学園,奈良学園,#N/A
53,中大横浜,近畿大和歌山（ＡＤ）,#N/A
53,桐光学園（男子ＳＡ）,#N/A,#N/A
52,茨城,京都教育大附,札幌光星
52,西武学園文理（ＳＣ）,大阪桐蔭（Ⅰ類）,立命館慶祥
52,芝浦工大柏,開智（和歌山）（ＳⅠ）,修道
