,hsname,devi
0,灘高等学校,79.0
1,お茶の水女子大学附属高等学校,78.0
2,筑波大学附属高等学校,78.0
3,筑波大学附属駒場高等学校,78.0
4,東大寺学園高等学校,78.0
5,ラ・サール高等学校,78.0
6,開成高等学校,77.0
7,東京学芸大学附属高等学校,77.0
8,神戸高等学校,77.0
9,北野高等学校,76.0
10,大阪星光学院高等学校,76.0
11,久留米大学附設高等学校,76.0
12,慶應義塾高等学校,76.0
13,慶應義塾志木高等学校,76.0
14,慶應義塾湘南藤沢高等部,76.0
15,慶應義塾女子高等学校,76.0
16,膳所高等学校,76.0
17,渋谷教育学園幕張高等学校,76.0
18,青雲高等学校,76.0
19,西大和学園高等学校,76.0
0,早稲田大学本庄高等学院,76.0
1,愛光高等学校,75.0
2,市川高等学校,75.0
3,天王寺高等学校,75.0
4,湘南高等学校,75.0
5,横浜翠嵐高等学校,75.0
6,熊本高等学校,75.0
7,大宮高等学校,75.0
8,千葉高等学校,75.0
9,船橋高等学校,75.0
10,広島大学附属福山高等学校,75.0
11,洛南高等学校,75.0
12,早稲田実業学校,75.0
13,早稲田大学高等学院,75.0
14,AICJ高等学校,75.0
15,江戸川学園取手高等学校,74.0
16,鶴丸高等学校,74.0
17,浦和高等学校,74.0
18,栄東高等学校,74.0
19,四天王寺高等学校,74.0
0,樟南高等学校,74.0
1,清風南海高等学校,74.0
2,智辯学園和歌山高等学校,74.0
3,日比谷高等学校,74.0
4,姫路西高等学校,74.0
5,広島大学附属高等学校,74.0
6,江戸川学園取手高等学校,74.0
7,AICJ高等学校,74.0
8,金沢泉丘高等学校,73.0
9,水戸第一高等学校,73.0
10,三国丘高等学校,73.0
11,岡山白陵高等学校,73.0
12,開智高等学校,73.0
13,金沢大学附属高等学校,73.0
14,関西大倉高等学校,73.0
15,京都市立堀川高等学校,73.0
16,清教学園高等学校,73.0
17,済々黌高等学校,73.0
18,浦和第一女子高等学校,73.0
19,栄東高等学校,73.0
0,昭和学院秀英高等学校,73.0
1,東葛飾高等学校,73.0
2,帝塚山高等学校,73.0
3,帝塚山高等学校,73.0
4,東海高等学校,73.0
5,国立高等学校,73.0
6,都立西高等学校,73.0
7,新潟高等学校,73.0
8,白陵高等学校,73.0
9,加古川東高等学校,73.0
10,兵庫高等学校,73.0
11,修猷館高等学校,73.0
12,桃山学院高等学校,73.0
13,西武学園文理高等学校,72.0
14,旭丘高等学校,72.0
15,岡崎高等学校,72.0
16,青山学院高等部,72.0
17,土浦第一高等学校,72.0
18,大阪教育大学附属高等学校池田校舎,72.0
19,大阪教育大学附属高等学校天王寺校舎,72.0
0,茨木高等学校,72.0
1,大手前高等学校,72.0
2,鹿児島実業高等学校,72.0
3,柏陽高等学校,72.0
4,岐阜高等学校,72.0
5,九州国際大学付属高等学校,72.0
6,嵯峨野高等学校,72.0
7,前橋高等学校,72.0
8,国際基督教大学高等学校,72.0
9,大宮高等学校,72.0
10,春日部高等学校,72.0
11,膳所高等学校,72.0
12,巣鴨高等学校,72.0
13,須磨学園高等学校,72.0
14,専修大学松戸高等学校,72.0
15,滝高等学校,72.0
16,千葉東高等学校,72.0
17,船橋高等学校,72.0
18,東京工業大学附属科学技術高等学校,72.0
19,戸山高等学校,72.0
0,八王子東高等学校,72.0
1,同志社高等学校,72.0
2,徳島市立高等学校,72.0
3,宇都宮高等学校,72.0
4,長崎西高等学校,72.0
5,奈良高等学校,72.0
6,西大和学園高等学校,72.0
7,宝塚北高等学校,72.0
8,長田高等学校,72.0
9,明善高等学校,72.0
10,筑紫丘高等学校,72.0
11,筑紫丘高等学校,72.0
12,福岡高等学校,72.0
13,仙台第二高等学校,72.0
14,明治大学付属明治高等学校,72.0
15,洛南高等学校,72.0
16,立教池袋高等学校,72.0
17,立教新座高等学校,72.0
18,立命館高等学校,72.0
19,立命館守山高等学校,72.0
0,一宮高等学校,71.0
1,明和高等学校,71.0
2,青森高等学校,71.0
3,秋田高等学校,71.0
4,金沢泉丘高等学校,71.0
5,江戸川学園取手高等学校,71.0
6,大分上野丘高等学校,71.0
7,高津高等学校,71.0
8,高松高等学校,71.0
9,川越東高等学校,71.0
10,京都市立西京高等学校,71.0
11,嵯峨野高等学校,71.0
12,近畿大学附属高等学校,71.0
13,高崎高等学校,71.0
14,作新学院高等学校,71.0
15,札幌光星高等学校,71.0
16,静岡高等学校,71.0
17,就実高等学校,71.0
18,淑徳与野高等学校,71.0
19,須磨学園高等学校,71.0
0,清風高等学校,71.0
1,佐倉高等学校,71.0
2,佐倉高等学校,71.0
3,土浦日本大学高等学校,71.0
4,青山高等学校,71.0
5,桐朋高等学校,71.0
6,富山中部高等学校,71.0
7,名古屋市立向陽高等学校,71.0
8,奈良学園高等学校,71.0
9,新潟高等学校,71.0
10,西宮市立西宮高等学校,71.0
11,神戸高等学校,71.0
12,広尾学園高等学校,71.0
13,藤島高等学校,71.0
14,福岡大学附属大濠高等学校,71.0
15,福島高等学校,71.0
16,札幌北高等学校,71.0
17,札幌南高等学校,71.0
18,四日市高等学校,71.0
19,宮崎西高等学校,71.0
0,山形東高等学校,71.0
1,徳山高等学校,71.0
2,甲府南高等学校,71.0
3,立命館守山高等学校,71.0
4,明星高等学校,71.0
5,開智高等学校,71.0
6,立命館守山高等学校,71.0
7,刈谷高等学校,70.0
8,時習館高等学校,70.0
9,八戸高等学校,70.0
10,茨城高等学校,70.0
11,竹園高等学校,70.0
12,大阪桐蔭高等学校,70.0
13,生野高等学校,70.0
14,四條畷高等学校,70.0
15,豊中高等学校,70.0
16,開智高等学校,70.0
17,甲南高等学校,70.0
18,春日部共栄高等学校,70.0
19,厚木高等学校,70.0
0,横浜緑ケ丘高等学校,70.0
1,桃山高等学校,70.0
2,近畿大学附属和歌山高等学校,70.0
3,近畿大学附属和歌山高等学校,70.0
4,錦城高等学校,70.0
5,國學院大學久我山高等学校,70.0
6,川越高等学校,70.0
7,さいたま市立浦和高等学校,70.0
8,清水東高等学校,70.0
9,沼津東高等学校,70.0
10,浜松北高等学校,70.0
11,富士高等学校,70.0
12,四天王寺高等学校,70.0
13,芝浦工業大学柏高等学校,70.0
14,芝浦工業大学柏高等学校,70.0
15,修道高等学校,70.0
16,淑徳与野高等学校,70.0
17,城北高等学校,70.0
18,西南学院高等学校,70.0
19,創価高等学校,70.0
